id,n_iso,n_fp,sdf_min
COMMERCIALoffice_building_mesh0843,247,67,-0.0090
COMMERCIALoffice_building_mesh0853,32892,1607,-0.2868
COMMERCIALoffice_building_mesh0856,6934,1323,-0.1566
COMMERCIALoffice_building_mesh0884,124,60,-0.0109
COMMERCIALoffice_building_mesh0978,874,306,-0.0582
COMMERCIALoffice_building_mesh1103,145,75,-0.0169
COMMERCIALoffice_building_mesh1119,11516,981,-0.2893
COMMERCIALoffice_building_mesh1242,32744,1029,-0.4498
COMMERCIALoffice_building_mesh1259,1746,79,-0.0970
COMMERCIALoffice_building_mesh1322,1473,178,-0.1100
COMMERCIALoffice_building_mesh1345,188,175,-0.0078
COMMERCIALoffice_building_mesh1502,208,95,-0.0239
COMMERCIALoffice_building_mesh1571,561,193,-0.0124
COMMERCIALoffice_building_mesh1582,1676,606,-0.1040
COMMERCIALoffice_building_mesh1616,3811,1619,-0.1004
COMMERCIALoffice_building_mesh1702,53,53,-0.0029
COMMERCIALoffice_building_mesh1767,54,37,-0.0099
COMMERCIALoffice_building_mesh1785,21573,539,-0.2557
COMMERCIALoffice_building_mesh1837,1925,354,-0.1083
COMMERCIALoffice_building_mesh1861,84,73,-0.0071
COMMERCIALoffice_building_mesh1875,1320,355,-0.0575
COMMERCIALoffice_building_mesh2060,33321,1124,-0.3461
COMMERCIALoffice_building_mesh2098,621,331,-0.0188
COMMERCIALoffice_building_mesh2128,1011,634,-0.0341
COMMERCIALoffice_building_mesh2148,22969,1195,-0.3805
COMMERCIALoffice_building_mesh2206,3089,473,-0.1241
COMMERCIALoffice_building_mesh2227,1895,69,-0.1065
COMMERCIALoffice_building_mesh2247,11015,599,-0.1950
COMMERCIALoffice_building_mesh2261,1169,172,-0.1220
COMMERCIALoffice_building_mesh2383,9266,815,-0.2193
COMMERCIALoffice_building_mesh2487,142,101,-0.0180
COMMERCIALoffice_building_mesh2529,885,165,-0.0115
COMMERCIALoffice_building_mesh2574,7350,309,-0.2094
COMMERCIALoffice_building_mesh2604,301,65,-0.0301
COMMERCIALoffice_building_mesh2835,2737,479,-0.1222
COMMERCIALoffice_building_mesh2859,21911,853,-0.1977
COMMERCIALoffice_building_mesh2982,632,285,-0.0132
COMMERCIALoffice_building_mesh3102,18355,1138,-0.2581
COMMERCIALoffice_building_mesh3109,258,144,-0.0168
COMMERCIALoffice_building_mesh3164,2350,682,-0.0678
COMMERCIALoffice_building_mesh3273,9,4,-0.0027
COMMERCIALoffice_building_mesh3311,169,72,-0.0059
COMMERCIALoffice_building_mesh3586,4164,360,-0.0268
COMMERCIALoffice_building_mesh3616,1955,320,-0.0896
COMMERCIALoffice_building_mesh3618,5780,155,-0.2059
COMMERCIALoffice_building_mesh3619,4130,131,-0.1665
COMMERCIALoffice_building_mesh3666,7828,1158,-0.1373
COMMERCIALoffice_building_mesh3729,224,216,-0.0115
COMMERCIALpalace_mesh0584,7591,761,-0.1783
COMMERCIALpalace_mesh0662,3277,759,-0.0465
COMMERCIALpalace_mesh0686,9928,1019,-0.1522
COMMERCIALpalace_mesh1011,10614,1054,-0.1829
COMMERCIALpalace_mesh1075,12179,1159,-0.1879
COMMERCIALpalace_mesh1097,25576,714,-0.2479
COMMERCIALpalace_mesh1272,6665,1137,-0.1655
COMMERCIALpalace_mesh1314,365,243,-0.0248
COMMERCIALpalace_mesh1393,106,21,-0.0292
COMMERCIALschool_building_mesh0043,16879,1594,-0.2464
COMMERCIALtemple_mesh0758,382,184,-0.0392
COMMERCIALtemple_mesh0760,818,242,-0.0583
COMMERCIALvilla_mesh0846,6798,275,-0.1835
COMMERCIALvilla_mesh2315,1747,473,-0.0993
COMMERCIALvilla_mesh2324,4648,1715,-0.1510
PUBLICcastle_mesh0120,151,88,-0.0062
PUBLICcastle_mesh2399,9766,1266,-0.1382
PUBLICcastle_mesh2583,234,201,-0.0164
PUBLICcastle_mesh3057,314,218,-0.0176
PUBLICcastle_mesh3328,12,8,-0.0258
PUBLICchurch_mesh2363,3530,751,-0.2401
PUBLICcity_hall_mesh0451,6450,808,-0.1521
PUBLICcity_hall_mesh0607,211,119,-0.0097
PUBLICfactory_mesh0697,365,292,-0.0226
PUBLICfactory_mesh0802,1254,443,-0.0521
PUBLIChotel_building_mesh0246,320,58,-0.0131
PUBLIChotel_building_mesh0365,692,648,-0.0083
PUBLIChotel_building_mesh0895,260,109,-0.0197
PUBLIChouse_mesh0094,230,104,-0.0448
PUBLIChouse_mesh3576,614,560,-0.0121
PUBLICmonastery_mesh0235,249,164,-0.0133
PUBLICmuseum_mesh0046,8368,741,-0.1548
PUBLICmuseum_mesh0050,469,151,-0.0604
PUBLICmuseum_mesh0082,6243,1065,-0.1067
PUBLICmuseum_mesh0147,152,84,-0.0081
PUBLICmuseum_mesh0409,67,41,-0.0115
PUBLICmuseum_mesh0501,3456,704,-0.1298
PUBLICmuseum_mesh0739,331,152,-0.0330
PUBLICmuseum_mesh0812,1031,536,-0.0346
PUBLICmuseum_mesh2262,230,162,-0.0192
PUBLICmuseum_mesh2295,3184,1367,-0.0532
PUBLICoffice_building_mesh0008,4049,821,-0.0835
PUBLICoffice_building_mesh0223,4625,919,-0.1024
PUBLICoffice_building_mesh0225,160,104,-0.0089
PUBLICoffice_building_mesh0248,328,211,-0.0284
PUBLICoffice_building_mesh2009,2937,700,-0.1711
PUBLICoffice_building_mesh2632,296,136,-0.0179
PUBLICoffice_building_mesh3131,284,176,-0.0436
PUBLICoffice_building_mesh3229,11609,1165,-0.2038
PUBLICoffice_building_mesh3669,261,168,-0.0118
PUBLICpalace_mesh0085,251,150,-0.0552
PUBLICpalace_mesh0682,573,345,-0.0394
PUBLICpalace_mesh0858,452,263,-0.0190
PUBLICpalace_mesh0900,3478,674,-0.1358
PUBLICpalace_mesh0982,362,194,-0.0432
PUBLICpalace_mesh1165,149,108,-0.0327
PUBLICpalace_mesh1398,6153,722,-0.1603
PUBLICpalace_mesh1461,408,270,-0.0110
PUBLICpalace_mesh1475,8120,819,-0.1386
PUBLICpalace_mesh1493,522,263,-0.0528
PUBLICschool_building_mesh0034,248,177,-0.0133
PUBLICschool_building_mesh0082,617,400,-0.0375
PUBLICschool_building_mesh0155,8401,907,-0.1895
PUBLICschool_building_mesh0260,6451,913,-0.1162
PUBLICschool_building_mesh0344,2013,423,-0.1515
PUBLICschool_building_mesh0889,266,111,-0.0129
PUBLICschool_building_mesh1131,1274,342,-0.0621
PUBLICschool_building_mesh1289,6696,1162,-0.1132
PUBLICvilla_mesh3962,6757,1184,-0.0910
PUBLICvilla_mesh5783,95,89,-0.0062
PUBLICvilla_mesh6414,5410,665,-0.1530
RELIGIOUScastle_mesh0107,4502,578,-0.0967
RELIGIOUScastle_mesh0349,599,232,-0.0879
RELIGIOUScastle_mesh0692,410,167,-0.0543
RELIGIOUScastle_mesh3136,990,300,-0.0717
RELIGIOUScastle_mesh3372,94,66,-0.0174
RELIGIOUScathedral_mesh0045,331,104,-0.0628
RELIGIOUScathedral_mesh0049,251,181,-0.0091
RELIGIOUScathedral_mesh0066,490,219,-0.0415
RELIGIOUScathedral_mesh0085,4764,321,-0.1344
RELIGIOUScathedral_mesh0227,9550,876,-0.2782
RELIGIOUScathedral_mesh0231,3709,349,-0.1968
RELIGIOUScathedral_mesh0233,2826,293,-0.1812
RELIGIOUScathedral_mesh0289,422,182,-0.0685
RELIGIOUScathedral_mesh0301,651,238,-0.0296
RELIGIOUScathedral_mesh0339,363,115,-0.0111
RELIGIOUScathedral_mesh0357,8105,570,-0.1992
RELIGIOUScathedral_mesh0363,598,126,-0.0592
RELIGIOUScathedral_mesh0494,7009,725,-0.1572
RELIGIOUScathedral_mesh0541,476,230,-0.0287
RELIGIOUScathedral_mesh0593,16177,1190,-0.2928
RELIGIOUScathedral_mesh0624,12769,859,-0.2725
RELIGIOUScathedral_mesh0640,6719,461,-0.2399
RELIGIOUScathedral_mesh0647,2026,548,-0.0481
RELIGIOUScathedral_mesh0702,2566,700,-0.0476
RELIGIOUScathedral_mesh0715,267,147,-0.0275
RELIGIOUScathedral_mesh0754,1273,248,-0.1003
RELIGIOUScathedral_mesh0926,556,142,-0.0930
RELIGIOUScathedral_mesh0953,879,237,-0.0594
RELIGIOUScathedral_mesh0960,398,101,-0.0550
RELIGIOUScathedral_mesh0963,214,101,-0.0288
RELIGIOUScathedral_mesh0986,2439,281,-0.1777
RELIGIOUScathedral_mesh0989,8094,605,-0.1771
RELIGIOUScathedral_mesh1005,7395,444,-0.0990
RELIGIOUScathedral_mesh1011,9827,915,-0.1299
RELIGIOUSchurch_mesh0013,1177,205,-0.0538
RELIGIOUSchurch_mesh0023,318,121,-0.0167
RELIGIOUSchurch_mesh0036,1892,579,-0.0706
RELIGIOUSchurch_mesh0061,489,127,-0.0534
RELIGIOUSchurch_mesh0081,6948,730,-0.2736
RELIGIOUSchurch_mesh0086,7337,1909,-0.1268
RELIGIOUSchurch_mesh0091,510,110,-0.0413
RELIGIOUSchurch_mesh0099,699,188,-0.0493
RELIGIOUSchurch_mesh0112,466,367,-0.0306
RELIGIOUSchurch_mesh0114,186,140,-0.0088
RELIGIOUSchurch_mesh0117,310,81,-0.0159
RELIGIOUSchurch_mesh0122,572,150,-0.0475
RELIGIOUSchurch_mesh0146,6484,960,-0.2094
RELIGIOUSchurch_mesh0153,11901,856,-0.3401
RELIGIOUSchurch_mesh0157,551,143,-0.1040
RELIGIOUSchurch_mesh0166,294,67,-0.0609
RELIGIOUSchurch_mesh0168,187,65,-0.0303
RELIGIOUSchurch_mesh0170,495,267,-0.0731
RELIGIOUSchurch_mesh0171,5582,416,-0.1341
RELIGIOUSchurch_mesh0173,703,184,-0.0707
RELIGIOUSchurch_mesh0180,323,155,-0.0292
RELIGIOUSchurch_mesh0185,6308,422,-0.2502
RELIGIOUSchurch_mesh0187,2811,345,-0.1074
RELIGIOUSchurch_mesh0188,11034,696,-0.2964
RELIGIOUSchurch_mesh0203,983,353,-0.0981
RELIGIOUSchurch_mesh0224,559,161,-0.0369
RELIGIOUSchurch_mesh0226,2478,284,-0.1337
RELIGIOUSchurch_mesh0229,443,264,-0.0439
RELIGIOUSchurch_mesh0234,6788,556,-0.1412
RELIGIOUSchurch_mesh0252,753,270,-0.0293
RELIGIOUSchurch_mesh0259,265,84,-0.0352
RELIGIOUSchurch_mesh0272,305,147,-0.0397
RELIGIOUSchurch_mesh0280,1917,285,-0.0653
RELIGIOUSchurch_mesh0284,253,87,-0.0186
RELIGIOUSchurch_mesh0286,3944,509,-0.2069
RELIGIOUSchurch_mesh0298,416,124,-0.0312
RELIGIOUSchurch_mesh0331,1202,393,-0.0664
RELIGIOUSchurch_mesh0335,666,41,-0.1318
RELIGIOUSchurch_mesh0339,1573,541,-0.0509
RELIGIOUSchurch_mesh0354,1156,434,-0.0913
RELIGIOUSchurch_mesh0376,455,196,-0.0518
RELIGIOUSchurch_mesh0411,1232,789,-0.0367
RELIGIOUSchurch_mesh0414,71,48,-0.0061
RELIGIOUSchurch_mesh0423,10992,837,-0.2620
RELIGIOUSchurch_mesh0427,1114,192,-0.0900
RELIGIOUSchurch_mesh0446,169,105,-0.0163
RELIGIOUSchurch_mesh0447,209,90,-0.0236
RELIGIOUSchurch_mesh0449,4127,439,-0.1679
RELIGIOUSchurch_mesh0475,520,290,-0.0752
RELIGIOUSchurch_mesh0486,1245,861,-0.0294
RELIGIOUSchurch_mesh0491,396,136,-0.0160
RELIGIOUSchurch_mesh0524,792,102,-0.0171
RELIGIOUSchurch_mesh0536,7045,537,-0.3079
RELIGIOUSchurch_mesh0564,804,166,-0.0804
RELIGIOUSchurch_mesh0568,14713,1175,-0.2657
RELIGIOUSchurch_mesh0572,435,100,-0.0375
RELIGIOUSchurch_mesh0575,23323,902,-0.3091
RELIGIOUSchurch_mesh0585,284,140,-0.0114
RELIGIOUSchurch_mesh0599,255,119,-0.0497
RELIGIOUSchurch_mesh0606,6753,848,-0.1873
RELIGIOUSchurch_mesh0611,50280,2150,-0.2880
RELIGIOUSchurch_mesh0612,31052,1132,-0.3804
RELIGIOUSchurch_mesh0620,191,94,-0.0151
RELIGIOUSchurch_mesh0623,398,108,-0.0422
RELIGIOUSchurch_mesh0627,420,191,-0.0468
RELIGIOUSchurch_mesh0643,4086,861,-0.1108
RELIGIOUSchurch_mesh0649,165,91,-0.0094
RELIGIOUSchurch_mesh0654,8152,711,-0.2458
RELIGIOUSchurch_mesh0660,399,156,-0.0654
RELIGIOUSchurch_mesh0671,170,105,-0.0169
RELIGIOUSchurch_mesh0681,7298,531,-0.3210
RELIGIOUSchurch_mesh0683,286,209,-0.0190
RELIGIOUSchurch_mesh0684,1083,236,-0.0796
RELIGIOUSchurch_mesh0694,15699,920,-0.3119
RELIGIOUSchurch_mesh0696,403,122,-0.0119
RELIGIOUSchurch_mesh0705,618,243,-0.0342
RELIGIOUSchurch_mesh0718,17971,1165,-0.3641
RELIGIOUSchurch_mesh0728,4080,866,-0.1196
RELIGIOUSchurch_mesh0730,27292,1617,-0.3029
RELIGIOUSchurch_mesh0739,2995,530,-0.1355
RELIGIOUSchurch_mesh0748,294,155,-0.0182
RELIGIOUSchurch_mesh0774,1941,249,-0.1606
RELIGIOUSchurch_mesh0778,1891,364,-0.0370
RELIGIOUSchurch_mesh0782,667,144,-0.0694
RELIGIOUSchurch_mesh0785,1455,548,-0.0964
RELIGIOUSchurch_mesh0786,3834,469,-0.1475
RELIGIOUSchurch_mesh0787,333,95,-0.0490
RELIGIOUSchurch_mesh0791,880,404,-0.0367
RELIGIOUSchurch_mesh0794,692,342,-0.0450
RELIGIOUSchurch_mesh0799,23067,1617,-0.2335
RELIGIOUSchurch_mesh0810,1148,213,-0.0832
RELIGIOUSchurch_mesh0834,1640,600,-0.0586
RELIGIOUSchurch_mesh0835,165,84,-0.0179
RELIGIOUSchurch_mesh0887,280,170,-0.0294
RELIGIOUSchurch_mesh0888,1179,216,-0.1273
RELIGIOUSchurch_mesh0892,435,126,-0.0588
RELIGIOUSchurch_mesh0919,1158,245,-0.0819
RELIGIOUSchurch_mesh0931,515,153,-0.0635
RELIGIOUSchurch_mesh0940,12210,998,-0.2488
RELIGIOUSchurch_mesh0955,1426,493,-0.0464
RELIGIOUSchurch_mesh0971,2946,804,-0.0745
RELIGIOUSchurch_mesh0978,2260,292,-0.0699
RELIGIOUSchurch_mesh0981,11847,710,-0.1892
RELIGIOUSchurch_mesh0993,146,44,-0.0469
RELIGIOUSchurch_mesh1005,1956,406,-0.1008
RELIGIOUSchurch_mesh1020,538,227,-0.0790
RELIGIOUSchurch_mesh1029,189,60,-0.0126
RELIGIOUSchurch_mesh1037,102,81,-0.0137
RELIGIOUSchurch_mesh1055,12730,839,-0.2304
RELIGIOUSchurch_mesh1057,23721,1343,-0.2103
RELIGIOUSchurch_mesh1072,299,208,-0.0122
RELIGIOUSchurch_mesh1081,2732,330,-0.1595
RELIGIOUSchurch_mesh1096,16629,840,-0.3258
RELIGIOUSchurch_mesh1110,988,291,-0.1082
RELIGIOUSchurch_mesh1114,369,217,-0.0201
RELIGIOUSchurch_mesh1116,550,175,-0.0130
RELIGIOUSchurch_mesh1119,1082,328,-0.1345
RELIGIOUSchurch_mesh1131,429,221,-0.0139
RELIGIOUSchurch_mesh1158,2012,373,-0.0967
RELIGIOUSchurch_mesh1192,25,15,-0.0140
RELIGIOUSchurch_mesh1196,10283,702,-0.1848
RELIGIOUSchurch_mesh1219,267,73,-0.0579
RELIGIOUSchurch_mesh1224,464,229,-0.0155
RELIGIOUSchurch_mesh1229,2037,534,-0.1410
RELIGIOUSchurch_mesh1270,3664,556,-0.1579
RELIGIOUSchurch_mesh1271,331,114,-0.0338
RELIGIOUSchurch_mesh1330,911,219,-0.0858
RELIGIOUSchurch_mesh1333,5097,531,-0.2649
RELIGIOUSchurch_mesh1345,1761,197,-0.1306
RELIGIOUSchurch_mesh1347,4603,425,-0.1487
RELIGIOUSchurch_mesh1360,531,339,-0.0206
RELIGIOUSchurch_mesh1365,964,224,-0.0172
RELIGIOUSchurch_mesh1379,382,120,-0.0544
RELIGIOUSchurch_mesh1381,304,153,-0.0099
RELIGIOUSchurch_mesh1421,9838,726,-0.1765
RELIGIOUSchurch_mesh1436,7591,865,-0.1532
RELIGIOUSchurch_mesh1446,9039,469,-0.1591
RELIGIOUSchurch_mesh1461,194,90,-0.0156
RELIGIOUSchurch_mesh1468,5354,969,-0.1531
RELIGIOUSchurch_mesh1469,1054,431,-0.0452
RELIGIOUSchurch_mesh1516,655,155,-0.0112
RELIGIOUSchurch_mesh1528,2685,610,-0.0716
RELIGIOUSchurch_mesh1543,2815,825,-0.1267
RELIGIOUSchurch_mesh1572,1331,356,-0.0545
RELIGIOUSchurch_mesh1574,2996,484,-0.1339
RELIGIOUSchurch_mesh1590,754,154,-0.0787
RELIGIOUSchurch_mesh1599,10169,710,-0.2455
RELIGIOUSchurch_mesh1612,277,93,-0.0236
RELIGIOUSchurch_mesh1627,126,66,-0.0110
RELIGIOUSchurch_mesh1658,73,49,-0.0120
RELIGIOUSchurch_mesh1681,17645,943,-0.2764
RELIGIOUSchurch_mesh1685,6525,965,-0.1780
RELIGIOUSchurch_mesh1686,1465,315,-0.1842
RELIGIOUSchurch_mesh1692,918,133,-0.0914
RELIGIOUSchurch_mesh1701,239,158,-0.0152
RELIGIOUSchurch_mesh1705,398,127,-0.0147
RELIGIOUSchurch_mesh1707,8179,703,-0.2710
RELIGIOUSchurch_mesh1725,12896,731,-0.2192
RELIGIOUSchurch_mesh1740,1452,393,-0.0703
RELIGIOUSchurch_mesh1749,3157,391,-0.1723
RELIGIOUSchurch_mesh1755,2374,425,-0.0711
RELIGIOUSchurch_mesh1757,18531,1628,-0.2799
RELIGIOUSchurch_mesh1759,380,167,-0.0228
RELIGIOUSchurch_mesh1768,494,257,-0.0183
RELIGIOUSchurch_mesh1815,4909,580,-0.1397
RELIGIOUSchurch_mesh1818,19106,1060,-0.3270
RELIGIOUSchurch_mesh1821,796,258,-0.0818
RELIGIOUSchurch_mesh1828,1931,236,-0.0729
RELIGIOUSchurch_mesh1837,674,359,-0.0441
RELIGIOUSchurch_mesh1847,1225,336,-0.1079
RELIGIOUSchurch_mesh1849,1610,263,-0.0665
RELIGIOUSchurch_mesh1908,2255,665,-0.0858
RELIGIOUSchurch_mesh1919,13081,746,-0.2196
RELIGIOUSchurch_mesh1926,305,109,-0.0379
RELIGIOUSchurch_mesh1935,4192,612,-0.1143
RELIGIOUSchurch_mesh1938,1132,148,-0.1137
RELIGIOUSchurch_mesh1979,241,101,-0.0515
RELIGIOUSchurch_mesh2002,479,258,-0.0159
RELIGIOUSchurch_mesh2003,2597,812,-0.0945
RELIGIOUSchurch_mesh2017,2234,290,-0.0713
RELIGIOUSchurch_mesh2058,1315,189,-0.1106
RELIGIOUSchurch_mesh2063,268,105,-0.0292
RELIGIOUSchurch_mesh2070,152,112,-0.0230
RELIGIOUSchurch_mesh2095,385,145,-0.0611
RELIGIOUSchurch_mesh2141,11154,924,-0.2579
RELIGIOUSchurch_mesh2146,2095,341,-0.0705
RELIGIOUSchurch_mesh2147,806,312,-0.0539
RELIGIOUSchurch_mesh2150,8226,637,-0.2584
RELIGIOUSchurch_mesh2156,9695,873,-0.1926
RELIGIOUSchurch_mesh2159,17364,863,-0.1988
RELIGIOUSchurch_mesh2175,11830,847,-0.2315
RELIGIOUSchurch_mesh2194,979,132,-0.0847
RELIGIOUSchurch_mesh2227,393,66,-0.0386
RELIGIOUSchurch_mesh2243,3269,504,-0.1565
RELIGIOUSchurch_mesh2251,97,36,-0.0092
RELIGIOUSchurch_mesh2268,4140,628,-0.2042
RELIGIOUSchurch_mesh2305,13635,718,-0.2459
RELIGIOUSchurch_mesh2318,15287,836,-0.2750
RELIGIOUSchurch_mesh2322,7183,782,-0.2397
RELIGIOUSchurch_mesh2415,4914,474,-0.1218
RELIGIOUSchurch_mesh2418,303,115,-0.0866
RELIGIOUSchurch_mesh2430,3229,961,-0.1623
RELIGIOUSchurch_mesh2460,988,135,-0.0601
RELIGIOUSchurch_mesh2463,8517,858,-0.1372
RELIGIOUSchurch_mesh2482,4160,704,-0.1185
RELIGIOUSchurch_mesh2485,2155,324,-0.0940
RELIGIOUSchurch_mesh2497,694,319,-0.0252
RELIGIOUSchurch_mesh2516,175,93,-0.0094
RELIGIOUSchurch_mesh2532,311,91,-0.0553
RELIGIOUSchurch_mesh2533,179,95,-0.0174
RELIGIOUSchurch_mesh2542,437,181,-0.0136
RELIGIOUSchurch_mesh2550,3028,285,-0.0774
RELIGIOUSchurch_mesh2577,16379,1209,-0.2851
RELIGIOUSchurch_mesh2594,1112,265,-0.0705
RELIGIOUSchurch_mesh2607,27948,1377,-0.2968
RELIGIOUSchurch_mesh2617,1641,289,-0.0987
RELIGIOUSchurch_mesh2642,9225,829,-0.1675
RELIGIOUSchurch_mesh2676,370,149,-0.0114
RELIGIOUSchurch_mesh2696,5862,1007,-0.1450
RELIGIOUSchurch_mesh2707,3618,365,-0.1678
RELIGIOUSchurch_mesh2727,13952,797,-0.2694
RELIGIOUSchurch_mesh2776,158,61,-0.0106
RELIGIOUSchurch_mesh2798,430,258,-0.0414
RELIGIOUSchurch_mesh2817,579,183,-0.0621
RELIGIOUSchurch_mesh2821,747,180,-0.0414
RELIGIOUSchurch_mesh2822,17967,838,-0.3092
RELIGIOUSchurch_mesh2844,188,106,-0.0295
RELIGIOUSchurch_mesh2882,310,259,-0.0115
RELIGIOUSchurch_mesh2916,802,391,-0.0701
RELIGIOUSchurch_mesh2921,16604,1005,-0.1956
RELIGIOUSchurch_mesh2924,670,212,-0.0572
RELIGIOUSchurch_mesh2926,191,50,-0.0255
RELIGIOUSchurch_mesh2941,284,115,-0.0415
RELIGIOUSchurch_mesh2956,191,123,-0.0154
RELIGIOUSchurch_mesh2958,181,109,-0.0326
RELIGIOUSchurch_mesh2993,166,72,-0.0382
RELIGIOUSchurch_mesh3000,1375,272,-0.0827
RELIGIOUSchurch_mesh3001,690,218,-0.0787
RELIGIOUSchurch_mesh3016,2608,1025,-0.0754
RELIGIOUSchurch_mesh3049,765,200,-0.0865
RELIGIOUSchurch_mesh3051,841,396,-0.0738
RELIGIOUSchurch_mesh3055,2160,372,-0.1447
RELIGIOUSchurch_mesh3065,28573,1527,-0.4231
RELIGIOUSchurch_mesh3084,1039,471,-0.0518
RELIGIOUSchurch_mesh3094,1671,445,-0.0637
RELIGIOUSchurch_mesh3131,204,109,-0.0210
RELIGIOUSchurch_mesh3135,39,28,-0.0172
RELIGIOUSchurch_mesh3142,2401,759,-0.1068
RELIGIOUSchurch_mesh3162,1144,245,-0.1128
RELIGIOUSchurch_mesh3167,4036,549,-0.1654
RELIGIOUSchurch_mesh3218,1183,593,-0.1103
RELIGIOUSchurch_mesh3219,1230,430,-0.1155
RELIGIOUSchurch_mesh3226,317,88,-0.0403
RELIGIOUScity_hall_mesh0188,559,263,-0.0620
RELIGIOUScity_hall_mesh0268,1331,286,-0.0348
RELIGIOUScity_hall_mesh0443,2999,725,-0.1191
RELIGIOUScity_hall_mesh0567,1173,377,-0.0779
RELIGIOUScity_hall_mesh0605,1656,283,-0.1106
RELIGIOUScity_hall_mesh0623,9465,792,-0.1965
RELIGIOUScity_hall_mesh0625,509,154,-0.0250
RELIGIOUScity_hall_mesh0633,175,93,-0.0172
RELIGIOUSfactory_mesh1562,210,126,-0.0096
RELIGIOUShotel_building_mesh0335,7772,535,-0.2258
RELIGIOUShouse_mesh4068,575,342,-0.0329
RELIGIOUShouse_mesh5060,4295,600,-0.1969
RELIGIOUShouse_mesh5630,1364,683,-0.0263
RELIGIOUSmonastery_mesh0062,10961,1068,-0.2026
RELIGIOUSmonastery_mesh0190,263,173,-0.0138
RELIGIOUSmonastery_mesh0197,177,84,-0.0552
RELIGIOUSmonastery_mesh0240,3218,171,-0.1906
RELIGIOUSmonastery_mesh0244,14261,1233,-0.2115
RELIGIOUSmonastery_mesh0253,18923,950,-0.2807
RELIGIOUSmosque_mesh0007,876,297,-0.0579
RELIGIOUSmosque_mesh0016,645,122,-0.0105
RELIGIOUSmosque_mesh0035,1605,585,-0.0929
RELIGIOUSmosque_mesh0045,821,259,-0.0485
